rh,temp,uva,uvb,x,y,blueg,blueb,worn,pressure,timestamp,hour,minute,second,isnight
33.14,27.358,2.002366666666666,0.545848,240.6,265.6666666666667,54.6,47.66666666666666,0.0,0.9859119993420512,1650620496,11,41,36,0
33.098666666666674,27.58466666666667,2.3452666666666664,0.6600159999999999,272.1333333333333,302.2,62.4,53.6,0.0,0.9858830495928942,1650620649,11,44,9,0
33.078809523809525,28.308571428571423,2.5354642857142857,0.7071600000000001,293.3095238095238,327.0952380952381,65.5952380952381,57.26190476190476,0.0,0.9858858223773103,1650620802,11,46,42,0
32.999,28.758,2.5315333333333334,0.7132659999999998,308.8333333333333,344.31666666666666,68.51666666666667,60.96666666666667,0.0,0.9858564026646928,1650620956,11,49,16,0
32.96151515151515,28.851818181818185,2.291772727272727,0.6325454545454545,292.5151515151515,323.5151515151515,65.03030303030303,58.18181818181818,0.0,0.985859183993899,1650621109,11,51,49,0
32.91422222222224,28.92200000000001,2.226733333333333,0.6213919999999999,281.26666666666665,310.4,62.13333333333333,56.11111111111112,0.0,0.9858762507881681,1650621262,11,54,22,0
32.867999999999995,28.889777777777777,2.4652111111111115,0.6821679999999999,287.97777777777776,318.53333333333336,63.888888888888886,57.06666666666667,0.0,0.9858775666858568,1650621416,11,56,56,0
32.81666666666667,28.76,2.7305,0.7185199999999999,299.0,332.0,69.0,60.0,0.0,0.9858837075417388,1650621569,11,59,29,0
32.802857142857135,29.090476190476185,2.6246666666666663,0.7363714285714286,305.3333333333333,338.6904761904762,68.02380952380952,61.04761904761905,0.0,0.9858865273225007,1650621722,12,2,2,0
32.7913725490196,28.885098039215684,2.3470098039215683,0.665395294117647,289.8235294117647,320.5686274509804,65.07843137254902,58.45098039215687,0.0,0.9859107995529818,1650621875,12,4,35,0
32.72087719298246,28.82666666666666,2.0219736842105265,0.5645621052631579,263.9122807017544,289.4561403508772,58.77192982456141,53.98245614035088,0.0,0.9859815341462467,1650622043,12,7,23,0
32.707142857142856,28.95142857142858,1.9896666666666667,0.541222857142857,246.66666666666663,270.6190476190476,55.04761904761905,49.66666666666666,0.0,0.9859593716588533,1650622196,12,9,56,0
32.75333333333334,28.641666666666666,2.032,0.54173,242.0,266.0,57.0,49.0,0.0,0.985939633193519,1650622350,12,12,30,0
32.748,28.635666666666665,2.1336,0.5938439999999999,252.1,279.03333333333336,56.9,50.2,0.0,0.9859794390986103,1650622503,12,15,3,0
32.745555555555555,28.66955555555556,2.274711111111111,0.628776,263.7111111111111,292.35555555555555,58.86666666666667,53.02222222222223,0.0,0.9860269210735532,1650622671,12,17,51,0
32.736250000000005,28.693125,2.197364583333333,0.619475,267.2916666666667,296.2916666666667,59.6875,54.145833333333336,0.0,0.9860222880171065,1650622824,12,20,24,0
32.75454545454546,28.741515151515152,2.139757575757576,0.5994981818181818,258.4848484848485,286.24242424242425,57.96969696969697,52.24242424242424,0.0,0.9860577649178685,1650622977,12,22,57,0
